provisional_id,incident_date,death_date,person_name,mode_reported,normalized_mode,latitude,longitude,location,source_url,source_name,status,last_checked,matched_official_record_id,reconciled_date,notes
2026-07-14-sixth-tehama,2026-07-14,2026-07-14,,Bicyclist,While Cycling,37.78039,-122.40649,6th St and Tehama St,https://missionlocal.org/2026/07/man-dies-collision-soma/,Mission Local,unreconciled,2026-08-12,,,Public reporting says the bicyclist later died; eligibility under the Vision Zero Fatality Protocol is not yet confirmed in DataSF.
2026-08-07-market-powell,2026-08-07,2026-08-07,,Electric scooter rider,Micromobility,37.78409,-122.40775,Market St and Powell St,https://www.cbsnews.com/sanfrancisco/news/fatal-crash-san-francisco-scooter-pedestrian-market-powell-street/,CBS News Bay Area,unreconciled,2026-08-12,,,Public reporting describes a fatal collision involving an e-scooter rider; eligibility and native City mode are not yet reconciled.
